day_number,date,weekday,opportunity_id,title,franchise,primary_format,output_bundle,evidence_floor,rights_strategy,monetization_lane,publication_state,primary_publish_time_et,vertical_publish_time_et,success_metric
1,2026-08-29,Saturday,OPP-0001,GTA VI: The Release Date and Platforms Rockstar Actually Lists,ledger,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
2,2026-08-30,Sunday,OPP-0002,82 Days Until GTA VI: What the Hype Cycle Is Hiding,ledger,vertical,1 vertical + 1 companion article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,LAUNCH_NOW,09:30,18:45,qualified_viewer_value and contribution per production dollar
3,2026-08-31,Monday,OPP-0003,GTA VI: What Rockstar Confirmed - and What It Did Not,ledger,long_video,1 long-form + 3 vertical cuts + 1 article + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,LAUNCH_NOW,12:15,18:45,qualified_viewer_value and contribution per production dollar
4,2026-09-01,Tuesday,OPP-0004,The Only GTA VI Sources We Treat as Official,ledger,web_article,1 article + 2 vertical explainers + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,LAUNCH_NOW,09:30,18:45,qualified_viewer_value and contribution per production dollar
5,2026-09-02,Wednesday,OPP-0005,Jason: The Official Dossier,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
6,2026-09-03,Thursday,OPP-0006,Lucia: The Official Dossier,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
7,2026-09-04,Friday,OPP-0007,Vice City: What Rockstar Has Actually Established,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
8,2026-09-05,Saturday,OPP-0008,Leonida Keys: Official Facts and Open Questions,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
9,2026-09-06,Sunday,OPP-0009,Port Gellhorn: Official Facts and Open Questions,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
10,2026-09-07,Monday,OPP-0010,Ambrosia: Official Facts and Open Questions,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
11,2026-09-08,Tuesday,OPP-0011,Grassrivers: Official Facts and Open Questions,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
12,2026-09-09,Wednesday,OPP-0012,Mount Kalaga: Official Facts and Open Questions,atlas,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
13,2026-09-10,Thursday,OPP-0013,Cal Hampton: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
14,2026-09-11,Friday,OPP-0014,Boobie Ike: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
15,2026-09-12,Saturday,OPP-0015,Dre'Quan Priest: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
16,2026-09-13,Sunday,OPP-0016,Real Dimez: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
17,2026-09-14,Monday,OPP-0017,Raul Bautista: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
18,2026-09-15,Tuesday,OPP-0018,Brian Heder: The Evidence File,people,multi_format,1 long-form + 1 dossier + 3 verticals + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,video_ads_and_owned_audience,PLANNED,12:15,18:45,qualified_viewer_value and contribution per production dollar
19,2026-09-16,Wednesday,OPP-0019,The Complete Official GTA VI Announcement Timeline,ledger,web_article,1 article + 2 vertical explainers + 1 thread,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
20,2026-09-17,Thursday,OPP-0020,"GTA VI Pre-Orders: Editions, Dates, and What Each Includes",launch_utility,search_answer,1 answer page + 1 vertical + 1 FAQ block,CONFIRMED,ORIGINAL_GRAPHICS_AND_NARRATION,search_display,PLANNED,09:30,18:45,qualified_viewer_value and contribution per production dollar
